English	Malay	Indonesian	priority
Eid ul-Fitr	Hari Raya Aidilfitri , Lebaran [44]	Hari Raya Idulfitri – Idul Fitri  nonstandard spelling, but common , Lebaran  colloquial – from Javanese 	
eight	lapan  used as colloquial abbreviation in Indonesian	delapan  used in Malaysia before the spelling reform 	
elasticity (economy)	keanjalan	bingkas , elastisitas 	
embargo (political)	sekatan  (means "obstacle" or "room which separated with partition" in Indonesian)	boikot , embargo 	
emergency	kecemasan  (used for anxiety or "too anxious" (condition) in Indonesian)	darurat  (from Arabic – also used in Malaysia to express a state of emergency ) , kegawatan 	
emperor	maharaja	kaisar  ( from Dutch keizer ) , maharaja  ( from Sanskrit ) 	
empire	empayar	kekaisaran , kemaharajaan , imperium  (from Latin) 	
enamel	enamel	email  ( from Dutch emaille ) 	
energy	tenaga	energi , tenaga  (for "power") 	
engine	enjin	mesin , motor 	
England	negeri Inggeris	Inggris 	
eraser	getah pemadam	penghapus 	
erosion	hakisan	pengikisan , erosi  ( from Dutch erosie ) 	
estimation	jangkaan , anggaran	perkiraan , dugaan , estimasi 	
evacuation	pemindahan  (means "translocation" or "relocation" in Indonesian)	pengungsian , evakuasi  ( from Dutch evacuatie ) 	
evaluation	penilaian	penilaian , evaluasi  ( from Dutch evaluatie ) 	
excess	lebihan	kelebihan , berlebihan , ekses 	
excretion	perkumuhan	ekskresi , pembuangan kotoran 	
execution (death sentence)	hukuman mati	eksekusi  ( from Dutch executie ) , (peng)hukuman mati 	
exhaust (pipe)	ekzos	knalpot  (from Dutch, in which it also means "muffler") 	
exploration	penjelajahan , eksplorasi	eksplorasi , penjelajahan 	
export	eksport	ekspor 	
expose	pendedahan	paparan , ekspos , pendedahan (virtually never used in Indonesia, listed by KBBI)	
extinct	pupus	padam  (of flame or light) , punah  (of species) , pupus  (loss of hope) 	
faculty	fakulti	fakultas  (from Latin : Facultas ) , fakulteit  (obsolete, from Dutch) 	
facility	kemudahan, fasiliti	kemudahan , fasilitas 	
faction (politics)	puak	faksi , fraksi  from Dutch fractie 	
federal	persekutuan	federal 	
federation	persekutuan  (related to "alliance" in Indonesian)	federasi  from Dutch federatie , serikat , persekutuan [45] 	
fermentation	fermentasi , peragian	fermentasi , peragian , penapaian 	
financial	kewangan	keuangan , finansial  from Dutch financieel 	
firefighter squad	bomba	pemadam kebakaran  ( lit. fire extinguisher) , branwir  (from Dutch brandweer (fire defense)) 	
flash drive	pemacu kilat	penggerak kilat 	
floor, level (storey)	tingkat  may be used in Indonesian to express the number of storeys/levels a building has, e.g. a 5-storey building = gedung bertingkat 5 , or to emphasize British floor numbering, e.g. tingkat satu means first floor (UK), second floor (US) in both languages , aras  (used to emphasize American floor numbering, e.g. aras dua = tingkat satu 	lantai  also refers to floor as ground surface in both languages, emphasizes American floor numbering , tingkat  emphasizes British floor numbering, e.g. lantai dua = tingkat satu  	
force (physics)	daya	gaya 	
fungus	kulat , fungus	fungi 	
fusion	pelakuran	fusi , penggabungan , peleburan 	
gangster	samseng	geng , preman  from Dutch vrijman ( lit. free-man) , gangster  from English 	
garage	garaj	garasi  influenced by Dutch pronunciation 	
garrison	garrison	garnisun  from Dutch garnizoen 	
gear	gear	roda gigi  influenced by Dutch tandwiel , lit. "tooth wheel" 	
gearbox	kotak gear	persneling  from Dutch versnelling , girboks , transmisi 	
general (military)	jeneral	jenderal  from Dutch generaal 	
Global Positioning System	Sistem Kedudukan Sejagat	Sistem Pemosisian Global 	
goal keeper	penjaga gol/penjaga gawang	kiper , penjaga gawang 	
golf club (stick)	kayu golf	stik golf , pemukul golf , tongkat golf 	
governor	gabenor , Yang di-Pertua Negeri  (in Malaysian states)	gubernur  from Dutch gouverneur 	
gradation	pemeringkatan	gradasi , pemberian tingkat (pemeringkatan) 	
graduate	siswazah , sarjana	lulusan , sarjana 	
grandfather	datuk	kakek , opa  from Dutch	
Greece	Greece  of recent use , Yunani	Yunani  from Arabic Yūnān  يُونَان 	
gross financial	kasar	bruto  from Dutch , kasar 	
guarantee	jaminan	jaminan , garansi  from Dutch pronunciation of garantie 	
half past one	pukul satu setengah  (one thirty)	pukul setengah dua  (thirty to two) 	
hammer	tukul	palu , martil  from Portuguese martelo 	
Handball	bola baling	bola tangan 	
hare	kelinci  ( kelinci means 'rabbit' in Indonesian )	terwelu  (from Javanese terwèlu ) 	
head office	ibu pejabat  " ibu " also means "mother" or "ma'am" in both languages	kantor pusat  (" kantor " – from Dutch kantoor (office)) ,  markas 	
headscarf, hijab	tudung	kerudung , jilbab  though these words have different meanings 	
herb	herba	jamu  often understood as traditional potion made from rhizomes, also means "guest" (" tamu ") and "treat the guest" (" menjamu ") , herbal 	
hexadecimal	perenambelasan	heksadesimal 	
hybrid (biology)	kacukan   hibrid	hibrida 	
identity	identiti	identitas 	
image	citra , imej  (of reputation) , gambar  (pictorial image)	citra  (of reputation) , gambar  (pictorial image) 	
imagination	imaginasi, bayangan	imajinasi , khayalan 	
import	import	impor 	
impotence	mati pucuk , impotensi , lemah syahwat	impotensi  from Dutch impotentie , lemah syahwat  colloquial 	
impotent	kemandulan	impotensi , kemandulan 	
incineration	penunuan	insinerasi 	
Indian Ocean	Lautan Hindi	Samudra Hindia 	
inductor	peraruh , induktor ( rare )	induktor 	
injection (noun)	suntikan	suntikan ,  injeksi 	
ink	dakwat  from Arabic	tinta  from Dutch tinte , dawat  (archaic) 	
installment (payment)	ansuran	angsuran , cicilan 	
instant	segera  (means "soon" in Indonesia)	seketika , instan 	
insurance	insurans	asuransi  from Dutch assurantie 	
intelligence  (spying)	risikan  (means 'secret investigation' in Indonesia)	intelijen , tilik sandi 	
international	antarabangsa	internasional , mancanegara  from Javanese meaning: foreign land )	
internet café	kafe internet , kafe  cyber	warnet  a portmanteau for " warung internet " ( lit. internet shop) 	
intervention	campur tangan , intervensi	campur tangan , intervensi 	
introspection	kaji diri , introspeksi ( rare )	introspeksi , mawas diri 	
invasion	penyerangan , penjajahan  (means colonialism in Indonesian) , invasi	invasi 	
investment	pelaburan	investasi , penanaman modal 	
irrigation	pengairan	irigasi , pengairan 	
lane	lorong  (means alley in Indonesian)	lajur 	
lawyer	peguam	advokat  from Dutch advocaat , pengacara  (means 'master of ceremonies' in Malay) 	
legislative	perundangan  (In Indonesian, it means legislation) , legislatif	legislatif 	
liability	liabiliti	kewajiban 	
licence	lesen , izin	izin , ijin  from Arabic  idhn , lisensi  from Dutch licentie 	
lieutenant	leftenan  (influenced by British English pronunciation)	letnan 	
lift, elevator	lif	lift 	
liquidity (economy)	kecairan	likuiditas 	
local	tempatan	lokal , setempat 	
lorry (UK)	Lori	Truk  (from American English : ' truck ') , prahoto  from Dutch vrachtauto 	
magistrate	majistret	hakim  from Arabic حَكِم – used in Malaysian to refer to judges , magistrat  less common 	
malfunction	kerosakan , malfungsi , pincang tugas	kerusakan , malafungsi 	
malpractice	penyelewengan  (means "misappropriation" in Indonesian)	malapraktik 	
management	pengurusan	manajemen , pengurusan  (rare) 	
manufacturing	pengilangan	manufaktur 	
mediation	pengantaraan  (In Indonesian, it means "broking")	mediasi 	
medicine	ubat	obat 	
memory card	kad ingatan/kad memori	kartu memori 	
mental arithmetic	congak	aritmetika cepat , congak 	
minibus	bas mini	bis mini , minibus 	
mortgage	gadai janji	hipotek  from Dutch hypotheek , gadai 	
nurse	jururawat	perawat , suster  from Dutch zuster , only for female nurse 	
Oceania	Oceania	Oseania 	
octal	perlapanan	oktal 	
officer	pegawai , kaki tangan  (a negative connotation usually means accomplice in criminal activity in Indonesian)	pejabat 	
official (adj.)	rasmi  (from Arabo-Persian rasmi  رَسمِي )	resmi  (also from rasmi ) 	
Olympic	Olimpik	Olimpiade 	
opposition	pembangkang  (means "defiance" in Indonesian)	oposisi 	
order (instruction)	order , perintah	perintah 	
oscillation	ayunan	osilasi , ayunan 	
oven	ketuhar	oven 	
parallel	selari	paralel 	
party (political)	parti	partai (from Dutch partij )	
patient	pesakit means convict in Indonesian	pasien 	
patrol	ronda	patroli (for police and military) (from Dutch patrolie ) , ronda (for civilian)	
pavement, sidewalk	jalan pinggir , jalur jalan untuk pejalan kaki , laluan jalan kaki , kaki lima  (In Indonesia, it is used in pedagang kaki lima (street vendor))  tepi jalan	trotoar  (from Franco-Dutch trottoir ) 	
penis	zakar  from Arabic ذَكَر " male "- this word is extremely vulgar in Indonesian, " buah zakar " means testicles , batang lelaki , konek  (slang)	penis  (formal) , zakar  from Arabic, less frequent , pelir , alat kelamin laki-laki  (euphemism) , kemaluan lelaki  (euphemism) , burung  (vulgar) , titit  (children's slang like "pee-pee") , kontol  (slang, extremely vulgar) 	
periodic	berkala	berkala ,  periodik 	
physics	fizik  (Indonesian equivalent term, fisik , is used for term physical, e.g. aktivitas fisik [physical activity])	fisika 	
pickpocket  noun	penyeluk saku	copet  (portmanteau of colong dompet , "wallet thief") , pencopet	
pipe	paip	pipa 	
pirate (maritime)	lanun bajak [47]	bajak laut , perompak  ( perompak in Malay, means "robber") , lanun  (archaic) 	
platform (train)	platform	peron  from Dutch perron 	
pollution	pencemaran	pencemaran , polusi 	
portion	sebahagian	porsi , sebagian  (a portion of...) 	
post code	poskod	kode pos 	
potential	keupayaan	potensial , daya berkemampuan 	
precipitation (meteorology)	kerpasan	curah hujan , presipitasi 	
prediction	ramalan	prediksi , ramalan , prakiraan  (not perkiraan  estimation ) 	
premature	pramatang	prematur , dini 	
preposition	kata sendi nama	preposisi , kata depan 	
Private Limited Company	Sendirian Berhad  abbreviated as Sdn Bhd  (suffix) , " sendirian " alone means "alone"	Perseroan Terbatas  abbreviated as PT  (prefix) 	
privatization	penswastaan	privatisasi , swastanisasi , penswastaan 	
producer	pengeluar , penerbit , penghasil	produsen , produser  (mainly refers to musical producers) , penghasil 	
programming (computer)	pengaturcaraan	pemrograman 	
property (?)	harta  punya , milik	properti  punya , milik 	
propulsion	perejangan	propulsi , pendorong , penggerak 	
prostitution	pelacuran	prostitusi , pelacuran 	
province	wilayah  (used in Indonesian to mean 'area') , daerah  (used in Indonesian to mean 'area')	provinsi  (from Dutch provincie ) 	
publication	penerbitan	penerbitan , publikasi , terbitan 	
pulse	denyut	denyut , pulsa 	
rabbit	arnab  (from Arabic)	kelinci  (from Dutch konijn ) 	
Random-Access Memory (RAM)	Ingatan Capaian Rawak	Memori Akses Acak 	
raspberry	rasberi	frambus , frambosen  (from Dutch framboos ) 	
ratio	nisbah	rasio , nisbah , perbandingan 	
reaction (chemical) 	tindak balas kimia 	reaksi kimia 	
Read-Only Memory (ROM)	Ingatan Baca Sahaja	Memori Hanya Baca 	
real estate	hartanah	realestat , properti tanah 	
recession (economy)	kemelesetan  (In Indonesian, it means "mishit")	resesi , kelesuan (ekonomi) 	
reclamation	tebus guna	reklamasi 	
recruitment	pergerakan  (In Indonesian, it means "movement") , pengambilan  (In Indonesian, it means "taking")	perekrutan , rekrutmen 	
refraction	pembiasan	pembiasan , refraksi 	
refrigerator	peti sejuk  lit. cool box (rarely used in Indonesian)	lemari es , lemari pendingin  ( lit. cooler closet) , kulkas  (from Dutch koelkast ) 	
renovation	pengubahsuaian	renovasi 	
reproduction	pembiakan	reproduksi , pembiakan  (also means "breeding") 	
responsibility	tanggungjawab	tanggung jawab , pertanggungjawaban 	
resistor	perintang	resistor , hambatan , perintang 	
restaurant	kedai makan  lit. "eating shop" , restoran	rumah makan  lit. "eating house" , warung makan  lit. "eating café" , restoran 	
retailing	peruncitan	ritel , eceran 	
ring (mathematics)	gelanggang	ring , gelanggang 	
routing	penghalaan	penghalaan 	
scenario	senario	skenario 	
sensor	penderia , pengesan , sensor	sensor 	
server (computing)	pelayan	server , peladen 	
session	sesyen , sesi	sesi  (from Dutch sessie ) 	
sewer	saluran najis  " najis " means dirty in both languages , saluran kumbahan	selokan , parit  (means 'ditch' in Malay) , got , saluran air/pembuangan 	
sexagesimal	perenampuluhan	seksagesimal 	
share (verb)	berkongsi  (In Indonesian, it means "creating trading company" or "plotting something bad")	berbagi 	
sodomy	liwat  (from Arabic)	sodomi , liwat  (only used in Islamic text books) 	
solar	solar , suria  (from Sanskrit ' surya ')	surya 	
speak/talk	berbicara , bercakap  (means 'to chat' in Indonesian) , bersembang , berborak	berbicara , ngomong  (Javanese ngoko , colloquial) 	
spouse	pasangan suami-isteri , kelamin  colloquial, in Indonesian means "sex" or "gender"	pasangan (suami-istri) , suami-istri  (husband-wife) 	
stability	kestabilan	stabilitas , kestabilan 	
stadium	stadium	stadion , stadiun  from Dutch 	
stamp	setem	perangko 	
standard	piawai , standard	standar  patokan 	
starfish	tapak Sulaiman	bintang laut 	
state (within a federation)	negeri	negara bagian 	
steering wheel	roda stereng	roda setir  (from Dutch stuur ) 	
strawberry	strawberi	stroberi , arbei  from Dutch aardbei 	
sublimation  (phase transition)	pemejalwapan	sublimasi , penyubliman 	
sunglasses	cermin mata gelap (In Indonesia, cermin means "mirror")	kacamata hitam  ( lit. black glasses) , kacamata riben  (from 'Ray-Ban' brand of sunglasses ) 	
supermarket	pasar raya	supermarket , pasar swalayan  ( lit. self-service market) 	
supervision	penyeliaan	pengawasan , penyeliaan , supervisi 	
survey	tinjauan  (means process or result of observation in Indonesian) , kaji selidik	survei 	
suspend (hang)	menggantung  (means 'hang' in Indonesian)	menangguhkan  (also 'adjourn' in Malay) 	
Sweden	Sweden	Swedia 	
Switzerland	Switzerland	Swiss 	
Syria	Syria	Suriah  (from Arabic) 	
table  (set of facts or figures)	jadual  (Indonesian equivalent, jadwal , means "schedule")	tabel 	
tank	kereta kebal	tank 	
tapioca	ubi kayu  as in Indonesian, understood as the tuber cassava itself	(tepung) tapioka , tepung singkong 	
terms	terma	syarat  (from Arabic : syarṭ – شَرْطٌ ) 	
terrorism	pengganasan	terorisme 	
testicles	buah zakar, testis, buah keranjut	testis, biji kemaluan, buah zakar  (slang, vulgar) , kanjut  (slang, vulgar) 	
Thailand	Negara Thai, Siam, Thailand	Thailand, Siam, Muangthai  used in old scripts 	
The Hague	The Hague	Den Haag  (from Dutch) 	
time	masa , waktu	waktu  from Arabic الوقت  ( al-Waqt ) , masa  (can be used for 'in a specific long period of time' in Indonesian) 	
tornado	puting beliung	puting beliung , angin puyuh , tornado 	
towel	tuala  (from Portuguese toalha )	handuk  (from Dutch handdoek ) 	
transsexual	pondan , bapok  (slang) , transseksual	transseksual , waria  (polite) a shortened form of wanita-pria  , bencong , banci 	
trillion (10 12 )	trilion	trilyun , triliun  (from Dutch pronunciation; starting with 10 12 , Indonesian uses the short scale) 	
truck (US)	Lori  (from British English : ' lorry ')	Truk , prahoto  from Dutch vrachtauto 	
try	cuba	coba 	
turkey (bird)	ayam belanda	(ayam) kalkun  (from Dutch kalkoen ) 	
Ukraine	Ukraine	Ukraina 	
union	kesatuan  (in Indonesian means "unitary")	persatuan , uni , serikat 	
United Arab Emirates	Emiriah Arab Bersatu	Uni Emirat Arab 	
United Kingdom	United Kingdom	Britania Raya 	
United Nations	Pertubuhan Bangsa-Bangsa Bersatu	Perserikatan Bangsa-Bangsa 	
vagina	faraj  (from Arabic, in Indonesian means "vulva") , pepek/pepet  (slang)	alat kelamin wanita, liang peranakan, vagina, farji, memek  (slang, vulgar) , pepek  (slang, vulgar) 	
variable (mathematics)	pemboleh ubah	variabel , peubah 	
Vatican City	Vatican City	(Kota) Vatikan 	
Venice	Venice	Venesia  (influenced by Dutch Venetië ) 	
verification	pengesahan  (means "validation" in Indonesian)	verifikasi 	
vice (deputy)	naib	wakil , naib  (less common) 	
victim	mangsa  in Indonesian means "prey"	korban 	
Vienna	Vienna	Wina  (influenced by Dutch Wenen ) 	
violet (colour)	lembayung	violet , ungu , lembayung  (rarely used) 	
virgin	(anak) dara, (anak) gadis, perawan	perawan  (formal) , gadis , (anak) dara 	
viscosity	kelikatan	viskositas , kekentalan 	
volleyball	bola tampar	bola voli 	
volume (math)	isi padu	volume , ruang , isi 	
voucher	baucer	voucer 	
warden	warden , penjaga penjara	sipir (penjara)  (from Dutch cipier ) 	
Warsaw	Warsaw	Warsawa 	
well (water hole)	perigi	sumur , perigi  (rarely used) 	
wheelchair	kerusi roda	kursi roda	
windscreen, windshield	cermin kereta	kaca depan (mobil) 	
wire	dawai , wayar	kawat  (e.g. copper wire) , kabel  (e.g. electrical wire, cable) 	
zipper (fastener)	zip	resleting  from Dutch ritssluiting 	
zoo	zoo , taman haiwan  ( kebun binatang was also frequently used in Malaysia before the mid-1960s)	kebun binatang  (derived from Dutch dierentuin , lit. "animal garden") , taman margasatwa  (more formal form for zoological park) 	
