description	term
inconceivable (idiom); unimaginable; unfathomable	不可思议 bù kě sī yì
be worthy of; deserve to be called; prove oneself to be	不愧 bú kuì
unexpectedly; to one's surprise	不料 bú liào
frequently; often; at any time	不时 bù shí
to dispose; to deploy; deployment	部署 bù shǔ
position; place	部位 bù wèi
not stint; not spare; not hesitate (to do sth); not scruple (to do sth)	不惜 bù xī
equally matched; about the same	不相上下 bù xiāng shàng xià
unreasonable; shocking; outrageous	不像话 bú xiàng huà
to disdain as beneath contempt	不屑一顾 bú xiè yī gù
it goes without saying; it is self-evident	不言而喻 bù yán ér yù
can't help; cannot but	不由得 bù yóu de
by fair means or foul; by hook or by crook; unscrupulously	不择手段 bù zé shǒu duàn
incessantly; without end; more than; not limited to	不止 bù zhǐ
to put in order; to arrange; to decorate; to fix up; to deploy	布置 bù zhì
tailor; dressmaker	裁缝 cái feng
wealth; riches	财富 cái fù
ability; competence	才干 cái gàn
judgment; to referee; umpire; judge; referee; CL:個|个[gè],位[wèi],名[míng]	裁判 cái pàn
financial affairs	财务 cái wù
to cut staff; to lay off employees	裁员 cái yuán
finances (public); financial	财政 cái zhèng
to procure (for an enterprise etc); to purchase	采购 cǎi gòu
to gather; to collect; to harvest	采集 cǎi jí
to accept; to adopt	采纳 cǎi nà
the lottery; lottery ticket	彩票 cǎi piào
staff officer; give advice	参谋 cān móu
to consult a reference; to refer to (another document)	参照 cān zhào
cruel; cruelty	残酷 cán kù
to remain; left over; surplus; remnant	残留 cán liú
cruel; mean; merciless; ruthless	残忍 cán rěn
to glitter; brilliant; splendid	灿烂 càn làn
cabin; the hold of a ship or airplane	舱 cāng
pale; wan	苍白 cāng bái
all of a sudden; hurriedly	仓促 cāng cù
depot; storehouse; warehouse	仓库 cāng kù
to work hard; to look after	操劳 cāo láo
drill; practice	操练 cāo liàn
to operate; to control; to rig; to manipulate	操纵 cāo zòng
to work; to operate; to manipulate	操作 cāo zuò
noisy; clamorous	嘈杂 cáo zá
draft (legislation, proposal etc)	草案 cǎo àn
careless; negligent; sloppy; not serious	草率 cǎo shuài
to plot; to scheme; to bring about; to engineer; planning; producer; planner	策划 cè huà
survey; to measure; to gauge; to determine	测量 cè liáng
tactics; to be tactful	策略 cè lüè
lateral side; side; aspect; profile	侧面 cè miàn
more and more emerge; innumerable succession; breeding like flies (idiom)	层出不穷 céng chū bù qióng
arrangement of ideas; administrative level; level; stage; phase	层次 céng cì
disparity; gap	差距 chā jù
to investigate and capture (a criminal); to ferret out; to hunt down and arrest	查获 chá huò
fork in road; bifurcation; branch in road, river, mountain range etc; to branch off; to turn off; to diverge; to stray (from the path); to change the subject; to interrupt; to stagger (times)	岔 chà
an instant (Sanskrit: ksana); split second; the twinkling of an eye	刹那 chà nà
flabbergasted; astonished	诧异 chà yì
diesel fuel	柴油 chái yóu
to assist by the arm; to mix; to support; to sustain	搀 chān
slander; defame; misrepresent; to speak maliciously	馋 chán
twisting; to twine; to wind; to pester; to bother	缠绕 chán rào
to expound (a position); to elaborate (on a topic); to treat (a subject)	阐述 chǎn shù
industry; estate; property; industrial	产业 chǎn yè
to shudder; to shiver; to shake; to tremble	颤抖 chàn dǒu
savage; furious	猖狂 chāng kuáng
prosperous	昌盛 chāng shèng
to repay; to reimburse	偿还 cháng huán
a whole year; average year	常年 cháng nián
